Name, Processor, RAM, Operating System, Display, Price 
Asus APU Quad Core E2 - (4 GB/1 TB HDD/Windows 10 Home) X540YA-XO290T Laptop,AMD APU Quad Core E2 Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,19990,
HP Imprint Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 15Q-BU007TU Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,27490,
Acer Switch One Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) SW110-1CT 2 in 1 Laptop,Intel Atom Quad Core Processor,2 GB DDR3 RAM,64 bit Windows 10 Operating System,10.1 inch Touchscreen Display,11990,
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 320E Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,DOS Operating System,15.6 inch Display,41990,
Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS) IP 320E-15ISK Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,26490,
Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Linux) A315-31 Laptop,Intel Celeron Dual Core Processor,2 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,15990,
HP Imprint Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15Q-BU009TU Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,DOS Operating System,15.6 inch Display,21990,
Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM,64 bit Mac OS Operating System,13.3 inch Display,56990,
Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 310-14IKB Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,42990,
HP APU Quad Core A8 - (4 GB/1 TB HDD/Windows 10 Home) 15-BG004AU Laptop,AMD APU Quad Core A8 Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,25490,
MSI CX Series Core i5 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) CX62 7QL-239XIN Gaming Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,33990,
Dell Inspiron Pentium Quad Core - (4 GB/500 GB HDD/Ubuntu) 3552 Notebook,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,21975,
HP Imprint Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) 15q-BU011TX Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,DOS Operating System,15.6 inch Display,42990,
HP Imprint Core i3 6th Gen - (8 GB/1 TB HDD/DOS) 15Q-BU006TU Laptop,Intel Core i3 Processor (6th Gen),8 GB DDR4 RAM,DOS Operating System,15.6 inch Display,31990,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Linux) 3467 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,14 inch Display,27490,
Lenovo Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) IP 320E Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,31990,
Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3467 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,33990,
