Brand, Processor, RAM, OS , Display, Touch, Price 
Asus,AMDAPUQuad,4,64bitWindows,15.6,0,19990
HP,IntelCorei3,4,DOSOperatingSystem,15.6,0,27490
Acer,IntelAtomQuad,2,64bitWindows,10.1,1,11990
Lenovo,IntelCorei5,8,DOSOperatingSystem,15.6,0,41990
Lenovo,IntelCorei3,4,DOSOperatingSystem,15.6,0,26490
Acer,IntelCeleronDual,2,Linux/UbuntuOperatingSystem,15.6,0,15990
HP,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,21990
Apple,IntelCorei5,8,64bitMac,13.3,0,56990
Lenovo,IntelCorei5,8,64bitWindows,14,0,42990
HP,AMDAPUQuad,4,64bitWindows,15.6,0,25490
MSI,IntelCorei5,4,DOSOperatingSystem,15.6,0,33990
Dell,IntelPentiumQuad,4,Linux/UbuntuOperatingSystem,15.6,0,21975
HP,IntelCorei5,8,DOSOperatingSystem,15.6,0,42990
HP,IntelCorei3,8,DOSOperatingSystem,15.6,0,31990
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,14,0,27490
Lenovo,IntelCorei3,4,64bitWindows,15.6,0,31990
Dell,IntelCorei3,4,64bitWindows,14,0,33990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,72990
Lenovo,AMDAPUDual,4,DOSOperatingSystem,15.6,0,18890
Dell,IntelCorei5,8,64bitLinux/Ubuntu,15.6,0,42990
Lenovo,AMDAPUDual,4,DOSOperatingSystem,15.6,0,19990
Lenovo,IntelPentiumQuad,4,64bitWindows,15.6,0,22990
HP,IntelCorei3,4,64bitDOS,15.6,0,31041
Lenovo,IntelCorei3,4,DOSOperatingSystem,15.6,0,31490
Lenovo,IntelCorei7,8,64bitWindows,15.6,0,64990
Dell,IntelCorei5,8,64bitWindows,15.6,0,69990
Acer,AMDAPUDual,4,64bitLinux/Ubuntu,15.6,0,18899
HP,AMDAPUDual,4,DOSOperatingSystem,15.6,0,19990
Dell,IntelCorei5,4,64bitWindows,15.6,0,43990
Microsoft,IntelCorei5,4,64bitWindows,12.3,1,60490
Dell,IntelCorei7,8,64bitWindows,15.6,0,81490
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,29990
Lenovo,IntelCorei3,8,64bitWindows,15.6,0,38990
Asus,IntelCorei3,4,64bitWindows,15.6,0,29990
Acer,IntelPentiumQuad,4,Windows10Operating,14,0,21990
Lenovo,IntelCorei5,4,64bitWindows,15.6,0,42990
Acer,IntelCorei7,16,64bitWindows,15.6,0,120990
Acer,IntelPentiumQuad,4,Linux/UbuntuOperatingSystem,15.6,0,20990
Acer,IntelCeleronDual,4,64bitWindows,15.6,0,20499
Acer,IntelCorei5,8,Linux/UbuntuOperatingSystem,15.6,0,35990
Dell,AMDAPUDual,4,Linux/UbuntuOperatingSystem,15.6,0,20990
Microsoft,IntelCorem3,4,64bitWindows,12.3,1,49990
Acer,IntelCorei7,8,64bitWindows,15.6,0,87999
Micromax,IntelAtomQuad,2,32bitWindows,11.6,0,10999
Lenovo,IntelCorei5,8,64bitWindows,14.1,0,63990
Acer,IntelPentiumQuad,4,64bitWindows,11.6,1,25990
Dell,AMDAPUDual,4,Linux/UbuntuOperatingSystem,15.6,0,21990
